route	trip	stop	timestamp	arrival	isValid	date
2	027150_2..N12X004	631N	1498900401	1498900341	true	2017-07-01
6	027250_6..N01X009	631N	1498898736	1498898720	true	2017-07-01
4	027700_4..S13X104	631S	1498899156	1498899114	true	2017-07-01
2	027900_2..S12X004	631S	1498898676	1498898647	true	2017-07-01
6	027950_6..S01R	631S	1498901151	1498901143	true	2017-07-01
4	028850_4..N13X104	631N	1498902006	1498901975	true	2017-07-01
2	029150_2..N12X004	631N	1498901481	1498901459	true	2017-07-01
6	029250_6..N01X009	631N	1498899936	1498899916	true	2017-07-01
4	029700_4..S13X104	631S	1498900371	1498900352	true	2017-07-01
2	029900_2..S12X004	631S	1498899906	1498899895	true	2017-07-01
6	029950_6..S01R	631S	1498902336	1498902319	true	2017-07-01
2	031150_2..N12X004	631N	1498902936	1498902905	true	2017-07-01
4	030850_4..N13X104	631N	1498903401	1498903365	true	2017-07-01
4	031700_4..S13X104	631S	1498901511	1498901533	true	2017-07-01
6	031250_6..N01X009	631N	1498901211	1498901182	true	2017-07-01
6	031500_6..S01R	631S	1498903266	1498903277	true	2017-07-01
2	031900_2..S12X004	631S	1498901031	1498901052	true	2017-07-01
4	032850_4..N13X104	631N	1498904376	1498904377	true	2017-07-01
2	033150_2..N12X004	631N	1498904016	1498904007	true	2017-07-01
6	033000_6..S01R	631S	1498904256	1498904232	true	2017-07-01
6	033250_6..N01X009	631N	1498902366	1498902335	true	2017-07-01
2	033800_2..S12X004	631S	1498902186	1498902158	true	2017-07-01
4	033700_4..S13X104	631S	1498902786	1498902779	true	2017-07-01
6	034000_6..S01R	631S	1498904826	1498904810	true	2017-07-01
2	034750_2..N12X004	631N	1498905006	1498905001	true	2017-07-01
4	034450_4..N13X104	631N	1498905516	1498905490	true	2017-07-01
4	035150_4..S13X104	631S	1498904106	1498904085	true	2017-07-01
6	035000_6..S01R	631S	1498905471	1498905427	true	2017-07-01
6	035250_6..N01X009	631N	1498903581	1498903552	true	2017-07-01
2	035400_2..S12X004	631S	1498903266	1498903213	true	2017-07-01
6	035850_6..S01R	631S	1498905891	1498905886	true	2017-07-01
2	036300_2..N12X004	631N	1498905861	1498905833	true	2017-07-01
4	036050_4..N13X104	631N	1498906551	1498906502	true	2017-07-01
4	036350_4..S13X104	631S	1498904706	1498904681	true	2017-07-01
2	036800_2..S12X004	631S	1498904016	1498904006	true	2017-07-01
6	036650_6..S01R	631S	1498906371	1498906352	true	2017-07-01
6	036750_6..N01X009	631N	1498904586	1498904561	true	2017-07-01
4	037350_4..N13X104	631N	1498907526	1498907432	true	2017-07-01
2	037600_2..S12X004	631S	1498904496	1498904477	true	2017-07-01
2	037650_2..N12X004	631N	1498906866	1498906806	true	2017-07-01
4	037550_4..S13X104	631S	1498905096	1498904941	true	2017-07-01
6	037450_6..S01R	631S	1498906761	1498906749	true	2017-07-01
6	038250_6..N01X009	631N	1498905366	1498905354	true	2017-07-01
6	038250_6..S01R	631S	1498907721	1498907679	true	2017-07-01
4	038450_4..S13X104	631S	1498905801	1498905780	true	2017-07-01
2	039100_2..N12X004	631N	1498907616	1498907607	true	2017-07-01
2	039200_2..S12X004	631S	1498905441	1498905393	true	2017-07-01
4	038900_4..N13X104	631N	1498908066	1498908035	true	2017-07-01
4	039150_4..S13X104	631S	1498906281	1498906254	true	2017-07-01
6	039050_6..S01R	631S	1498908096	1498908072	true	2017-07-01
6	039750_6..N01X009	631N	1498906251	1498906231	true	2017-07-01
6	039850_6..S01R	631S	1498908246	1498908221	true	2017-07-01
2	040200_2..S12X004	631S	1498906101	1498906079	true	2017-07-01
2	040300_2..N12X004	631N	1498908351	1498908281	true	2017-07-01
4	039950_4..S13X104	631S	1498906611	1498906602	true	2017-07-01
4	040100_4..N13X104	631N	1498908831	1498908811	true	2017-07-01
