route	trip	stop	time
4	000500_4	401S	1495080300
4	000500_4	402S	1495080384
4	000500_4	405S	1495080501
4	000500_4	406S	1495080630
4	000500_4	407S	1495080716
4	000500_4	408S	1495080797
4	000500_4	409S	1495080903
4	000500_4	410S	1495080987
4	000500_4	411S	1495081068
4	000500_4	412S	1495081150
4	000500_4	413S	1495081243
4	000500_4	414S	1495081344
4	000500_4	415S	1495081512
4	000500_4	416S	1495081642
4	000500_4	621S	1495081769
4	000500_4	626S	1495082025
4	000500_4	629S	1495082209
4	000500_4	631S	1495082418
4	000500_4	635S	1495082638
4	000500_4	640S	1495083080
4	000500_4	418S	1495083150
4	000500_4	419S	1495083252
4	000500_4	420S	1495083912
4	000500_4	423S	1495084254
4	000500_4	234S	1495084394
4	000500_4	235S	1495084550
4	000500_4	236S	1495084642
4	000500_4	237S	1495084744
4	000500_4	238S	1495084847
4	000500_4	239S	1495084981
4	000500_4	248S	1495085140
4	000500_4	249S	1495085238
4	000500_4	250S	1495085915
4	000500_4	251S	1495085526
4	000500_4	252S	1495085617
4	000500_4	253S	1495085712
4	000500_4	254S	1495085811
4	000500_4	255S	1495085876
4	000500_4	256S	1495085960
4	000500_4	257S	1495086032
4	144800_4	257N	1495080480
4	144800_4	256N	1495080313
4	144800_4	255N	1495080393
4	144800_4	254N	1495080534
4	144800_4	253N	1495080587
4	144800_4	252N	1495080675
4	144800_4	251N	1495080788
4	144800_4	250N	1495080917
4	144800_4	249N	1495081065
4	144800_4	248N	1495081141
4	144800_4	239N	1495081350
4	144800_4	238N	1495081504
4	144800_4	237N	1495081628
4	144800_4	236N	1495081758
4	144800_4	235N	1495081837
4	144800_4	234N	1495082071
4	144800_4	423N	1495082273
4	144800_4	420N	1495083105
4	144800_4	419N	1495083308
4	144800_4	418N	1495083390
4	144800_4	640N	1495083507
4	144800_4	635N	1495083766
4	144800_4	631N	1495084012
4	144800_4	629N	1495084191
4	144800_4	626N	1495084374
4	144800_4	621N	1495084669
4	144800_4	416N	1495085034
4	144800_4	415N	1495085148
4	144800_4	414N	1495085291
4	144800_4	413N	1495085409
4	144800_4	412N	1495085507
4	144800_4	411N	1495085591
4	144800_4	410N	1495085668
4	144800_4	409N	1495086337
4	144800_4	408N	1495085877
4	144800_4	407N	1495085961
4	144800_4	406N	1495086060
4	144800_4	405N	1495086179
4	144800_4	402N	1495086281
4	144800_4	401N	1495086406
4	001500_4	401S	1495080900
4	001500_4	402S	1495081025
4	001500_4	405S	1495081124
4	001500_4	406S	1495081235
4	001500_4	407S	1495081312
4	001500_4	408S	1495081383
4	001500_4	409S	1495081478
4	001500_4	410S	1495081555
4	001500_4	411S	1495081626
4	001500_4	412S	1495081701
4	001500_4	413S	1495081787
4	001500_4	414S	1495081885
4	001500_4	415S	1495082031
4	001500_4	416S	1495082129
4	001500_4	621S	1495082253
4	001500_4	622S	1495082480
4	001500_4	623S	1495082554
4	001500_4	624S	1495082634
4	001500_4	625S	1495082720
4	001500_4	626S	1495082817
4	001500_4	627S	1495082909
4	001500_4	628S	1495083129
4	001500_4	629S	1495083305
4	001500_4	630S	1495083461
4	001500_4	631S	1495083573
4	001500_4	632S	1495083699
4	001500_4	633S	1495083762
4	001500_4	634S	1495083832
4	001500_4	635S	1495083949
4	001500_4	636S	1495084059
4	001500_4	637S	1495084133
4	001500_4	638S	1495084218
4	001500_4	639S	1495084295
4	001500_4	640S	1495084414
4	001500_4	418S	1495084550
4	001500_4	419S	1495084630
4	001500_4	420S	1495085419
4	001500_4	423S	1495085671
4	001500_4	234S	1495085790
4	001500_4	235S	1495085904
4	001500_4	236S	1495085988
4	001500_4	237S	1495086080
4	001500_4	238S	1495086200
4	001500_4	239S	1495086303
4	001500_4	248S	1495086436
4	001500_4	249S	1495086521
4	001500_4	250S	1495087184
4	001500_4	251S	1495086748
4	001500_4	252S	1495086832
4	001500_4	253S	1495086911
4	001500_4	254S	1495086993
4	001500_4	255S	1495087047
4	001500_4	256S	1495087117
4	001500_4	257S	1495087177
4	145800_4	257N	1495081080
4	145800_4	256N	1495081416
4	145800_4	255N	1495081501
4	145800_4	254N	1495081607
4	145800_4	253N	1495081657
4	145800_4	252N	1495081742
4	145800_4	251N	1495081854
4	145800_4	250N	1495081988
4	145800_4	249N	1495082105
4	145800_4	248N	1495082206
4	145800_4	239N	1495082334
4	145800_4	238N	1495082475
4	145800_4	237N	1495082669
4	145800_4	236N	1495082850
4	145800_4	235N	1495082928
4	145800_4	234N	1495083048
4	145800_4	423N	1495083450
4	145800_4	420N	1495084737
4	145800_4	419N	1495084872
4	145800_4	418N	1495084969
4	145800_4	640N	1495085096
4	145800_4	635N	1495085367
4	145800_4	631N	1495085610
4	145800_4	629N	1495085915
4	145800_4	626N	1495086419
4	145800_4	621N	1495086738
4	145800_4	416N	1495087130
4	145800_4	415N	1495087275
4	145800_4	414N	1495087425
4	145800_4	413N	1495087626
4	145800_4	412N	1495087688
4	145800_4	411N	1495087730
4	145800_4	410N	1495087767
4	145800_4	409N	1495088395
4	145800_4	408N	1495087944
4	145800_4	407N	1495087991
4	145800_4	406N	1495088074
4	145800_4	405N	1495088164
4	145800_4	402N	1495088298
4	145800_4	401N	1495088422
4	067650_4	410S	1495034880
4	067650_4	411S	1495034970
4	067650_4	412S	1495035060
4	067650_4	413S	1495035150
4	067650_4	414S	1495035270
4	067650_4	415S	1495035450
4	067650_4	416S	1495035570
4	067650_4	621S	1495035750
4	067650_4	626S	1495036020
4	067650_4	629S	1495036260
4	067650_4	631S	1495036410
4	067650_4	635S	1495036650
4	067650_4	640S	1495036920
4	067650_4	418S	1495037040
4	067650_4	419S	1495037100
4	067650_4	420S	1495037190
4	067650_4	423S	1495037490
4	067650_4	234S	1495037610
4	067650_4	235S	1495037700
4	067650_4	239S	1495037940
4	067650_4	250S	1495038270
4	135800_4	256S	1495080168
4	135800_4	257S	1495080411
4	136400_4	402N	1495165569
4	136400_4	401N	1495165674
4	137200_4	248S	1495166816
4	137200_4	249S	1495166906
4	137200_4	250S	1495167146
4	137200_4	251S	1495167296
4	137200_4	252S	1495167386
4	137200_4	253S	1495167506
4	137200_4	254S	1495167566
4	137200_4	255S	1495167656
4	137200_4	256S	1495167716
4	137200_4	257S	1495167806
4	137450_4	405N	1495166041
4	137450_4	402N	1495166144
4	137450_4	401N	1495166286
4	138400_4	409N	1495167025
4	138400_4	408N	1495167115
4	138400_4	407N	1495167175
4	138400_4	406N	1495167265
4	138400_4	405N	1495167385
4	138400_4	402N	1495167505
4	138400_4	401N	1495167625
4	138400_4	234S	1495166847
4	138400_4	235S	1495166937
4	138400_4	236S	1495166997
4	138400_4	237S	1495167117
4	138400_4	238S	1495167237
4	138400_4	239S	1495167327
4	138400_4	248S	1495167417
4	138400_4	249S	1495167507
4	138400_4	250S	1495168047
4	138400_4	251S	1495168197
4	138400_4	252S	1495168287
4	138400_4	253S	1495168407
4	138400_4	254S	1495168467
4	138400_4	255S	1495168557
4	138400_4	256S	1495168617
4	138400_4	257S	1495168707
4	139400_4	416N	1495166505
4	139400_4	415N	1495166625
4	139400_4	414N	1495166775
4	139400_4	413N	1495166865
4	139400_4	412N	1495166955
4	139400_4	411N	1495167015
4	139400_4	410N	1495167075
4	139400_4	409N	1495167765
4	139400_4	408N	1495167855
4	139400_4	407N	1495167915
4	139400_4	406N	1495168005
4	139400_4	405N	1495168125
4	139400_4	402N	1495168245
4	139400_4	401N	1495168365
4	139400_4	640S	1495080161
4	139400_4	418S	1495080333
4	139400_4	419S	1495080424
4	139400_4	420S	1495080531
4	139400_4	423S	1495080822
4	139400_4	234S	1495080969
4	139400_4	235S	1495081112
4	139400_4	236S	1495081208
4	139400_4	237S	1495081312
4	139400_4	238S	1495081413
4	139400_4	239S	1495081530
4	139400_4	248S	1495081682
4	139400_4	249S	1495081784
4	139400_4	250S	1495082346
4	139400_4	251S	1495082065
4	139400_4	252S	1495082139
