route	trip	stop	timestamp	arrival	isValid
4	000550_4..S13X300	401S	1460174751	1460174730	true
4	000550_4..S13X300	402S	1460174830	1460174840	true
4	000550_4..S13X300	405S	1460174946	1460174945	true
4	000550_4..S13X300	406S	1460175061	1460175052	true
4	000550_4..S13X300	407S	1460175139	1460175136	true
4	000550_4..S13X300	408S	1460175178	1460175214	true
4	000550_4..S13X300	409S	1460175258	1460175317	true
4	000550_4..S13X300	410S	1460175413	1460175388	false
4	000550_4..S13X300	411S	1460175413	1460175448	false
4	000550_4..S13X300	412S	1460175529	1460175538	true
4	000550_4..S13X300	413S	1460175607	1460175624	true
4	000550_4..S13X300	414S	1460175725	1460175726	true
4	000550_4..S13X300	415S	1460175942	1460175898	true
4	000550_4..S13X300	416S	1460176037	1460176022	true
4	000550_4..S13X300	621S	1460176276	1460176147	true
4	000550_4..S13X300	622S	1460176395	1460176377	true
4	000550_4..S13X300	623S	1460176434	1460176459	true
4	000550_4..S13X300	624S	1460176512	1460176541	true
4	000550_4..S13X300	625S	1460176552	1460176613	true
4	000550_4..S13X300	626S	1460176671	1460176685	true
4	000550_4..S13X300	627S	1460176749	1460176792	true
4	000550_4..S13X300	628S	1460176865	1460176858	true
4	000550_4..S13X300	629S	1460176943	1460176942	true
4	000550_4..S13X300	630S	1460177063	1460177031	true
4	000550_4..S13X300	631S	1460177182	1460177155	true
4	000550_4..S13X300	632S	1460177300	1460177307	true
4	000550_4..S13X300	633S	1460177339	1460177382	true
4	000550_4..S13X300	634S	1460177419	1460177436	true
4	000550_4..S13X300	635S	1460177656	1460177603	true
4	000550_4..S13X300	636S	1460177696	1460177732	true
4	000550_4..S13X300	637S	1460177816	1460177789	false
4	000550_4..S13X300	638S	1460177816	1460177849	false
4	000550_4..S13X300	639S	1460177896	1460177966	true
4	000550_4..S13X300	640S	1460178052	1460178026	true
4	145400_4..N13X300	640N	1460260631	1460261640	false
4	145400_4..N13X300	639N	1460260631	1460261760	false
4	145400_4..N13X300	638N	1460260631	1460261850	false
4	145400_4..N13X300	637N	1460260631	1460261910	false
4	145400_4..N13X300	636N	1460260631	1460262000	false
4	145400_4..N13X300	635N	1460260631	1460262090	false
4	145400_4..N13X300	634N	1460260631	1460262210	false
4	145400_4..N13X300	633N	1460260631	1460262270	false
4	145400_4..N13X300	632N	1460260631	1460262330	false
4	145400_4..N13X300	631N	1460260631	1460262450	false
4	145400_4..N13X300	630N	1460260631	1460262540	false
4	145400_4..N13X300	629N	1460260631	1460262630	false
4	145400_4..N13X300	628N	1460260631	1460262750	false
4	145400_4..N13X300	627N	1460260631	1460262840	false
4	145400_4..N13X300	626N	1460260631	1460262930	false
4	145400_4..N13X300	625N	1460260631	1460263050	false
4	145400_4..N13X300	624N	1460260631	1460263140	false
4	145400_4..N13X300	623N	1460260631	1460263200	false
4	145400_4..N13X300	622N	1460260631	1460263290	false
4	145400_4..N13X300	621N	1460260631	1460263380	false
4	145400_4..N13X300	416N	1460260631	1460263530	false
4	145400_4..N13X300	415N	1460260631	1460263620	false
4	145400_4..N13X300	414N	1460260631	1460264010	false
4	145400_4..N13X300	413N	1460260631	1460264130	false
4	145400_4..N13X300	412N	1460260631	1460264220	false
4	145400_4..N13X300	411N	1460260631	1460264310	false
4	145400_4..N13X300	410N	1460260631	1460264370	false
4	145400_4..N13X300	409N	1460260631	1460264460	false
4	145400_4..N13X300	408N	1460260631	1460264550	false
4	145400_4..N13X300	407N	1460260631	1460264610	false
4	145400_4..N13X300	406N	1460260631	1460264670	false
4	145400_4..N13X300	405N	1460260631	1460264790	false
4	145400_4..N13X300	402N	1460260631	1460264880	false
4	145400_4..N13X300	401N	1460260631	1460265000	false
4	001600_4..S13X300	401S	1460260631	1460261760	false
4	001600_4..S13X300	402S	1460260631	1460261880	false
4	001600_4..S13X300	405S	1460260631	1460261970	false
4	001600_4..S13X300	406S	1460260631	1460262090	false
4	001600_4..S13X300	407S	1460260631	1460262150	false
4	001600_4..S13X300	408S	1460260631	1460262210	false
4	001600_4..S13X300	409S	1460260631	1460262300	false
4	001600_4..S13X300	410S	1460260631	1460262390	false
4	001600_4..S13X300	411S	1460260631	1460262450	false
4	001600_4..S13X300	412S	1460260631	1460262540	false
