route	trip	stop	time
4	144400_4	257N	1479964340 1479963840
4	144400_4	256N	1479964340 1479963930
4	144400_4	255N	1479964340 1479963990
4	144400_4	254N	1479964340 1479964080
4	144400_4	253N	1479964340 1479964140
4	144400_4	252N	1479964340 1479964260
4	144400_4	251N	1479964340 1479964350
4	144400_4	250N	1479964340 1479964500
4	144400_4	249N	1479964340 1479964620
4	144400_4	248N	1479964340 1479964740
4	144400_4	239N	1479964340 1479964830
4	144400_4	238N	1479964340 1479964950
4	144400_4	237N	1479964340 1479965040
4	144400_4	236N	1479964340 1479965160
4	144400_4	235N	1479964340 1479965250
4	144400_4	234N	1479964340 1479965340
4	144400_4	423N	1479964340 1479965430
4	144400_4	420N	1479964340 1479965730
4	144400_4	419N	1479964340 1479965790
4	144400_4	418N	1479964340 1479965880
4	144400_4	640N	1479964340 1479965970
4	144400_4	635N	1479964340 1479966240
4	144400_4	631N	1479964340 1479966450
4	144400_4	629N	1479964340 1479966570
4	144400_4	626N	1479964340 1479966780
4	144400_4	621N	1479964340 1479967050
4	144400_4	416N	1479964340 1479967200
4	144400_4	415N	1479964340 1479967320
4	144400_4	414N	1479964340 1479967470
4	144400_4	413N	1479964340 1479967560
4	144400_4	412N	1479964340 1479967650
4	144400_4	411N	1479964340 1479967710
4	144400_4	410N	1479964340 1479967770
4	144400_4	409N	1479964340 1479967860
4	144400_4	408N	1479964340 1479968550
4	144400_4	407N	1479964340 1479968610
4	144400_4	406N	1479964340 1479968700
4	144400_4	405N	1479964340 1479968820
4	144400_4	402N	1479964340 1479968940
4	144400_4	401N	1479964340 1479969060
4	000400_4	401S	1479963920 1479963840
4	000400_4	402S	1479964040 1479964045
4	000400_4	405S	1479964160 1479964149
4	000400_4	406S	1479964160 1479964269
4	000400_4	407S	1479964340 1479964339
4	000400_4	408S	1479964400 1479964417
4	000400_4	409S	1479964520 1479964508
4	000400_4	410S	1479964580 1479964587
4	000400_4	411S	1479964640 1479964657
4	000400_4	412S	1479964700 1479964735
4	000400_4	413S	1479964820 1479964817
4	000400_4	414S	1479964880 1479964918
4	000400_4	415S	1479965060 1479965059
4	000400_4	416S	1479965180 1479965172
4	000400_4	621S	1479965300 1479965292
4	000400_4	626S	1479965540 1479965557
4	000400_4	629S	1479965720 1479965722
4	000400_4	631S	1479965840 1479965888
4	000400_4	635S	1479966080 1479966094
4	000400_4	640S	1479966380 1479966372
4	000400_4	418S	1479966500 1479966472
4	000400_4	419S	1479966560 1479966559
4	000400_4	420S	1479966680 1479966657
4	000400_4	423S	1479967220 1479967225
4	000400_4	234S	1479967340 1479967336
4	000400_4	235S	1479967520 1479967490
4	000400_4	236S	1479967580 1479967585
