route	trip	stop	time
4	048800_4S	640S	1490962490 1490965020
4	048800_4S	418S	1490962490 1490965140
4	048800_4S	419S	1490962490 1490965230
4	048800_4S	420S	1490962490 1490965320
4	048800_4S	423S	1490962490 1490965650
4	048800_4S	234S	1490962490 1490965770
4	048800_4S	235S	1490962490 1490965860
4	048800_4S	239S	1490962490 1490966100
4	048800_4S	250S	1490962490 1490966310
4	144400_4N	257N	1490933330 1490933040
4	144400_4N	256N	1490933390 1490933465
4	144400_4N	255N	1490933510 1490933502
4	144400_4N	254N	1490933570 1490933597
4	144400_4N	253N	1490933630 1490933648
4	144400_4N	252N	1490933690 1490933790
4	144400_4N	251N	1490933825 1490933858
4	144400_4N	250N	1490934005 1490933986
4	144400_4N	249N	1490934110 1490934104
4	144400_4N	248N	1490934230 1490934217
4	144400_4N	239N	1490934290 1490934340
4	144400_4N	238N	1490934470 1490934477
4	144400_4N	237N	1490934605 1490934601
4	144400_4N	236N	1490934725 1490934722
4	144400_4N	235N	1490934770 1490934797
4	144400_4N	234N	1490934890 1490934918
4	144400_4N	423N	1490935070 1490935080
4	144400_4N	420N	1490935670 1490935682
4	144400_4N	419N	1490935790 1490935793
4	144400_4N	418N	1490935850 1490935917
4	144400_4N	640N	1490935985 1490936007
4	144400_4N	635N	1490936450 1490936425
4	144400_4N	631N	1490936810 1490936748
4	144400_4N	630N	1490937050 1490936974
4	144400_4N	629N	1490937050 1490937064
4	144400_4N	628N	1490937305 1490937081
4	144400_4N	627N	1490937305 1490937201
4	144400_4N	626N	1490937305 1490937291
4	144400_4N	625N	1490937950 1490937595
4	144400_4N	624N	1490937950 1490937685
4	144400_4N	623N	1490937950 1490937745
4	144400_4N	622N	1490937950 1490937835
4	144400_4N	621N	1490937950 1490937925
4	144400_4N	416N	1490938190 1490938173
4	144400_4N	415N	1490938310 1490938299
4	144400_4N	414N	1490938445 1490938449
4	144400_4N	413N	1490938565 1490938573
4	144400_4N	412N	1490938670 1490938677
4	144400_4N	411N	1490938790 1490938764
4	144400_4N	410N	1490938850 1490938847
4	144400_4N	409N	1490938970 1490938916
4	144400_4N	408N	1490939030 1490939046
4	144400_4N	407N	1490939105 1490939136
4	144400_4N	406N	1490939225 1490939239
4	144400_4N	405N	1490939330 1490939361
4	144400_4N	402N	1490939450 1490939473
4	144400_4N	401N	1490939630 1490939594
4	000550_4S	401S	1491019145 1491019530
4	000550_4S	402S	1491019145 1491019650
4	000550_4S	405S	1491019145 1491019740
4	000550_4S	406S	1491019145 1491019860
4	000550_4S	407S	1491019145 1491019920
4	000550_4S	408S	1491019145 1491019980
4	000550_4S	409S	1491019145 1491020070
4	000550_4S	410S	1491019145 1491020160
4	000550_4S	411S	1491019145 1491020220
4	000550_4S	412S	1491019145 1491020310
4	000550_4S	413S	1491019145 1491020400
4	000550_4S	414S	1491019145 1491020520
4	000550_4S	415S	1491019145 1491020670
4	000550_4S	416S	1491019145 1491020760
4	000550_4S	621S	1491019145 1491020910
4	000550_4S	626S	1491019145 1491021360
4	000550_4S	629S	1491019145 1491021660
4	000550_4S	631S	1491019145 1491021870
4	000550_4S	635S	1491019145 1491022350
4	000550_4S	640S	1491019145 1491022770
4	000550_4S	418S	1490935985 1490936001
4	000550_4S	419S	1490936105 1490936087
4	000550_4S	420S	1490936210 1490936195
4	000550_4S	423S	1490936510 1490936478
4	000550_4S	234S	1490936570 1490936604
4	000550_4S	235S	1490936810 1490936767
4	000550_4S	236S	1490936870 1490936865
4	000550_4S	237S	1490936930 1490937008
4	000550_4S	238S	1490937050 1490937067
4	000550_4S	239S	1490937050 1490937157
4	000550_4S	248S	1490937350 1490937331
4	000550_4S	249S	1490937410 1490937428
4	000550_4S	250S	1490937530 1490937511
4	000550_4S	251S	1490937710 1490937736
4	000550_4S	252S	1490937890 1490937854
4	000550_4S	253S	1490937950 1490937958
4	000550_4S	254S	1490938025 1490938058
4	000550_4S	255S	1490938130 1490938135
4	000550_4S	256S	1490938190 1490938226
4	000550_4S	257S	1490938310 1490938308
4	001500_4S	401S	1490933690 1490933700
4	001500_4S	402S	1490933870 1490933872
4	001500_4S	405S	1490934050 1490934050
4	001500_4S	406S	1490934110 1490934180
4	001500_4S	407S	1490934230 1490934226
4	001500_4S	408S	1490934290 1490934295
4	001500_4S	409S	1490934425 1490934386
4	001500_4S	410S	1490934470 1490934463
4	001500_4S	411S	1490934470 1490934553
4	001500_4S	412S	1490934605 1490934612
4	001500_4S	413S	1490934665 1490934699
4	001500_4S	414S	1490934770 1490934790
4	001500_4S	415S	1490934950 1490934937
4	001500_4S	416S	1490934950 1490935057
4	001500_4S	621S	1490935205 1490935158
4	001500_4S	622S	1490935250 1490935294
4	001500_4S	623S	1490935385 1490935375
4	001500_4S	624S	1490935430 1490935466
4	001500_4S	625S	1490935550 1490935543
4	001500_4S	626S	1490935610 1490935636
4	001500_4S	627S	1490935730 1490935722
4	001500_4S	628S	1490935790 1490935806
4	001500_4S	629S	1490935850 1490935906
4	001500_4S	630S	1490935985 1490936005
4	001500_4S	631S	1490936105 1490936114
4	001500_4S	632S	1490936210 1490936243
4	001500_4S	633S	1490936270 1490936307
4	001500_4S	634S	1490936330 1490936369
4	001500_4S	635S	1490936510 1490936476
4	001500_4S	636S	1490936570 1490936593
4	001500_4S	637S	1490936690 1490936708
4	001500_4S	638S	1490936810 1490936816
4	001500_4S	639S	1490936870 1490936882
4	001500_4S	640S	1490937005 1490936989
4	001500_4S	418S	1490937050 1490937105
4	001500_4S	419S	1490937050 1490937195
4	001500_4S	420S	1490937245 1490937238
4	001500_4S	423S	1490937410 1490937560
4	001500_4S	234S	1490937605 1490937606
4	001500_4S	235S	1490937710 1490937723
4	001500_4S	236S	1490937770 1490937805
4	001500_4S	237S	1490937890 1490937893
4	001500_4S	238S	1490937950 1490937982
4	001500_4S	239S	1490938085 1490938073
4	001500_4S	248S	1490938190 1490938205
4	001500_4S	249S	1490938310 1490938294
4	001500_4S	250S	1490938310 1490938414
4	001500_4S	251S	1490938565 1490938577
4	001500_4S	252S	1490938670 1490938655
4	001500_4S	253S	1490938730 1490938738
4	001500_4S	254S	1490938790 1490938826
4	001500_4S	255S	1490938850 1490938884
4	001500_4S	256S	1490938970 1490938959
4	001500_4S	257S	1490939030 1490939022
4	146100_4N	257N	1490934050 1490934060
4	146100_4N	256N	1490934110 1490934132
4	146100_4N	255N	1490934170 1490934208
4	146100_4N	254N	1490934290 1490934313
4	146100_4N	253N	1490934290 1490934373
4	146100_4N	252N	1490934470 1490934455
4	146100_4N	251N	1490934470 1490934545
4	146100_4N	250N	1490934725 1490934706
4	146100_4N	249N	1490934830 1490934816
4	146100_4N	248N	1490934950 1490934924
4	146100_4N	239N	1490935130 1490935099
4	146100_4N	238N	1490935205 1490935229
4	146100_4N	237N	1490935325 1490935344
4	146100_4N	236N	1490935430 1490935453
4	146100_4N	235N	1490935550 1490935533
4	146100_4N	234N	1490935670 1490935648
4	146100_4N	423N	1490935790 1490935825
4	146100_4N	420N	1490936510 1490936534
4	146100_4N	419N	1490936570 1490936628
4	146100_4N	418N	1490936690 1490936716
4	146100_4N	640N	1490936870 1490936857
4	146100_4N	635N	1490937410 1490937414
4	146100_4N	631N	1490937830 1490937801
4	146100_4N	630N	1490938130 1490938010
4	146100_4N	629N	1490938130 1490938100
4	146100_4N	628N	1490938310 1490938098
4	146100_4N	627N	1490938310 1490938218
4	146100_4N	626N	1490938310 1490938308
4	146100_4N	625N	1490938790 1490938424
4	146100_4N	624N	1490938790 1490938514
4	146100_4N	623N	1490938790 1490938574
4	146100_4N	622N	1490938790 1490938664
4	146100_4N	621N	1490938790 1490938754
4	146100_4N	416N	1490938970 1490938969
4	146100_4N	415N	1490939030 1490939111
4	146100_4N	414N	1490939225 1490939208
4	146100_4N	413N	1490939330 1490939333
4	146100_4N	412N	1490939450 1490939428
4	146100_4N	411N	1490939510 1490939512
4	146100_4N	410N	1490939570 1490939590
4	146100_4N	409N	1490939690 1490939654
4	146100_4N	408N	1490939690 1490939954
4	146100_4N	407N	1490939885 1490939869
4	146100_4N	406N	1490939945 1490939968
4	146100_4N	405N	1490940110 1490940094
4	146100_4N	402N	1490940230 1490940208
4	146100_4N	401N	1490940350 1490940333
4	135950_4S	252S	1491019014 1491019014
4	135950_4S	253S	1491019074 1491019104
4	135950_4S	254S	1491019145 1491019187
4	135950_4S	255S	1491019145 1491019277
4	135950_4S	256S	1491019145 1491019337
4	135950_4S	257S	1491019145 1491019427
4	137200_4S	248S	1491019145 1491019247
4	137200_4S	249S	1491019145 1491019337
4	137200_4S	250S	1491019145 1491019457
4	137200_4S	251S	1491019145 1491019847
4	137200_4S	252S	1491019145 1491019937
4	137200_4S	253S	1491019145 1491020057
4	137200_4S	254S	1491019145 1491020117
4	137200_4S	255S	1491019145 1491020207
4	137200_4S	256S	1491019145 1491020267
4	137200_4S	257S	1491019145 1491020357
4	137450_4N	406N	1491018654 1491018690
4	137450_4N	405N	1491018725 1491018829
4	137450_4N	402N	1491018894 1491018916
4	137450_4N	401N	1491019074 1491019023
4	138400_4N	410N	1491018954 1491018970
4	138400_4N	409N	1491019074 1491019034
4	138400_4N	408N	1491019145 1491019158
4	138400_4N	407N	1491019145 1491019218
4	138400_4N	406N	1491019145 1491019308
4	138400_4N	405N	1491019145 1491019428
