route	trip	stop	time
4	000400_4S	401S	1489896227 1489896240
4	000400_4S	402S	1489896362 1489896357
4	000400_4S	405S	1489896467 1489896471
4	000400_4S	406S	1489896587 1489896581
4	000400_4S	407S	1489896647 1489896668
4	000400_4S	408S	1489896767 1489896755
4	000400_4S	409S	1489896887 1489896862
4	000400_4S	410S	1489896947 1489896951
4	000400_4S	411S	1489897007 1489897031
4	000400_4S	412S	1489897142 1489897119
4	000400_4S	413S	1489897202 1489897212
4	000400_4S	414S	1489897307 1489897321
4	000400_4S	415S	1489897487 1489897509
4	000400_4S	416S	1489897667 1489897672
4	000400_4S	621S	1489897967 1489897985
4	000400_4S	626S	1489898387 1489898382
4	000400_4S	629S	1489898582 1489898579
4	000400_4S	631S	1489898747 1489898745
4	000400_4S	635S	1489898987 1489898961
4	000400_4S	640S	1489899287 1489899270
4	000400_4S	418S	1489899407 1489899418
4	000400_4S	419S	1489899467 1489899503
4	000400_4S	420S	1489899587 1489899591
4	000400_4S	423S	1489899827 1489899860
4	000400_4S	234S	1489900007 1489899979
4	000400_4S	235S	1489900187 1489900151
4	000400_4S	236S	1489900247 1489900256
4	000400_4S	237S	1489900367 1489900357
4	000400_4S	238S	1489900427 1489900471
4	000400_4S	239S	1489900682 1489900663
4	000400_4S	248S	1489900847 1489900825
4	000400_4S	249S	1489900907 1489900929
4	000400_4S	250S	1489900967 1489901073
4	144750_4N	250N	1489896422 1489896450
4	144750_4N	249N	1489896527 1489896529
4	144750_4N	248N	1489896647 1489896626
4	144750_4N	239N	1489896767 1489896746
4	144750_4N	235N	1489897067 1489897037
4	144750_4N	234N	1489897142 1489897126
4	144750_4N	423N	1489897247 1489897267
4	144750_4N	420N	1489897487 1489897524
4	144750_4N	419N	1489897607 1489897591
4	144750_4N	418N	1489897667 1489897665
4	144750_4N	640N	1489897787 1489897768
4	144750_4N	635N	1489897967 1489897993
4	144750_4N	631N	1489898207 1489898216
4	144750_4N	630N	1489898327 1489898361
4	144750_4N	629N	1489898447 1489898452
4	144750_4N	628N	1489898522 1489898550
4	144750_4N	627N	1489898627 1489898636
4	144750_4N	626N	1489898747 1489898738
4	144750_4N	625N	1489898867 1489898849
4	144750_4N	624N	1489898987 1489899008
4	144750_4N	623N	1489899047 1489899092
4	144750_4N	622N	1489899167 1489899173
4	144750_4N	621N	1489899362 1489899331
4	144750_4N	416N	1489899587 1489899568
4	144750_4N	415N	1489899647 1489899639
4	144750_4N	414N	1489899887 1489899884
4	144750_4N	413N	1489900007 1489900001
4	144750_4N	412N	1489900067 1489900084
4	144750_4N	411N	1489900127 1489900195
4	144750_4N	410N	1489900247 1489900238
4	144750_4N	409N	1489900307 1489900331
4	144750_4N	408N	1489900427 1489900437
