route	trip	stop	time
4	144400_4	257N	1471061044 1471061040
4	144400_4	256N	1471061113 1471061145
4	144400_4	255N	1471061217 1471061226
4	144400_4	254N	1471061286 1471061289
4	144400_4	253N	1471061355 1471061370
4	144400_4	252N	1471061426 1471061455
4	144400_4	251N	1471061530 1471061524
4	144400_4	250N	1471061669 1471061662
4	144400_4	249N	1471061774 1471061790
4	144400_4	248N	1471061879 1471061885
4	144400_4	239N	1471062017 1471061995
4	144400_4	238N	1471062120 1471062118
4	144400_4	237N	1471062191 1471062231
4	144400_4	236N	1471062368 1471062350
4	144400_4	235N	1471062438 1471062422
4	144400_4	234N	1471062542 1471062527
4	144400_4	423N	1471062715 1471062683
4	144400_4	420N	1471062992 1471062944
4	144400_4	419N	1471063027 1471063043
4	144400_4	418N	1471063096 1471063112
4	144400_4	640N	1471063167 1471063224
4	144400_4	635N	1471063512 1471063503
4	144400_4	631N	1471063754 1471063762
4	144400_4	629N	1471064098 1471064111
4	144400_4	626N	1471064341 1471064312
4	144400_4	621N	1471064690 1471064648
4	144400_4	416N	1471064902 1471064890
4	144400_4	415N	1471065008 1471064988
4	144400_4	414N	1471065149 1471065115
4	144400_4	413N	1471065184 1471065236
4	144400_4	412N	1471065323 1471065311
4	144400_4	411N	1471065393 1471065388
4	144400_4	410N	1471065428 1471065465
4	144400_4	409N	1471065533 1471066121
4	144400_4	408N	1471065673 1471065648
4	144400_4	407N	1471065743 1471065728
4	144400_4	406N	1471065778 1471065835
4	144400_4	405N	1471065918 1471065929
4	144400_4	402N	1471066022 1471066032
4	144400_4	401N	1471066194 1471066121
4	000550_4	401S	1471061113 1471061130
4	000550_4	402S	1471061217 1471061222
4	000550_4	405S	1471061355 1471061342
4	000550_4	406S	1471061460 1471061462
4	000550_4	407S	1471061530 1471061551
4	000550_4	408S	1471061599 1471061640
4	000550_4	409S	1471061774 1471061739
4	000550_4	410S	1471061844 1471061826
4	000550_4	411S	1471061879 1471061899
4	000550_4	412S	1471061949 1471062009
4	000550_4	413S	1471062085 1471062070
4	000550_4	414S	1471062191 1471062184
4	000550_4	415S	1471062368 1471062368
4	000550_4	416S	1471062507 1471062485
4	000550_4	621S	1471062715 1471062679
4	000550_4	626S	1471063027 1471063000
4	000550_4	629S	1471063167 1471063179
4	000550_4	631S	1471063444 1471063402
4	000550_4	635S	1471063581 1471063693
4	000550_4	640S	1471063926 1471063936
4	000550_4	418S	1471064029 1471064053
