route	trip	stop	time
5	000300_5	420N	1476675224 1476676980
5	000300_5	419N	1476675224 1476677040
5	000300_5	418N	1476675224 1476677130
5	000300_5	640N	1476675224 1476677220
5	000300_5	635N	1476675224 1476677490
5	000300_5	631N	1476675224 1476677700
5	000300_5	629N	1476675224 1476677820
5	000300_5	626N	1476675224 1476678030
5	000300_5	621N	1476675224 1476678330
5	000300_5	416N	1476675224 1476678480
5	000300_5	222N	1476675224 1476678630
5	000300_5	221N	1476675224 1476678750
5	000300_5	220N	1476675224 1476678870
5	000300_5	219N	1476675224 1476678960
5	000300_5	218N	1476675224 1476679020
5	000300_5	217N	1476675224 1476679080
5	000300_5	216N	1476675224 1476679170
5	000300_5	215N	1476675224 1476679290
5	000300_5	214N	1476675224 1476679380
5	000300_5	213N	1476675224 1476679470
5	000300_5	212N	1476675224 1476679590
5	000300_5	211N	1476675224 1476679710
5	000300_5	210N	1476675224 1476679830
5	000300_5	209N	1476675224 1476679890
5	000300_5	208N	1476675224 1476679980
5	000300_5	207N	1476675224 1476680070
5	000300_5	206N	1476675224 1476680160
5	000300_5	205N	1476675224 1476680220
5	000300_5	204N	1476675224 1476680310
5	000300_5	201N	1476675224 1476680430
5	000350_5	420N	1476597892 1476590610
5	000350_5	419N	1476597892 1476590670
5	000350_5	418N	1476597892 1476590760
5	000350_5	640N	1476597892 1476590850
5	000350_5	635N	1476597892 1476591120
5	000350_5	631N	1476597892 1476591330
5	000350_5	629N	1476597892 1476591450
5	000350_5	626N	1476597892 1476591660
5	000350_5	621N	1476597892 1476591960
5	000350_5	416N	1476597892 1476592110
5	000350_5	222N	1476597892 1476592260
5	000350_5	221N	1476597892 1476592380
5	000350_5	220N	1476597892 1476592500
5	000350_5	219N	1476597892 1476592590
5	000350_5	218N	1476597892 1476592650
5	000350_5	217N	1476597892 1476592710
5	000350_5	216N	1476597892 1476592800
5	000350_5	215N	1476597892 1476592920
5	000350_5	214N	1476597892 1476593010
5	000350_5	213N	1476597892 1476593100
5	000350_5	212N	1476597892 1476593220
5	000350_5	211N	1476597892 1476593340
5	000350_5	210N	1476597892 1476593460
5	000350_5	209N	1476597892 1476593520
5	000350_5	208N	1476597892 1476593610
5	000350_5	207N	1476597892 1476593700
5	000350_5	206N	1476597892 1476593790
5	000350_5	205N	1476597892 1476593850
5	000350_5	204N	1476597892 1476593940
5	000350_5	201N	1476597892 1476594060
5	145450_5	420N	1476591351 1476591270
5	145450_5	419N	1476591421 1476591448
5	145450_5	418N	1476591525 1476591522
5	145450_5	640N	1476591665 1476591632
5	145450_5	635N	1476591908 1476591894
5	145450_5	631N	1476592152 1476592128
5	145450_5	629N	1476592326 1476592294
5	145450_5	626N	1476592431 1476592538
5	145450_5	621N	1476592847 1476592858
5	145450_5	416N	1476593074 1476593070
5	145450_5	222N	1476593214 1476593225
5	145450_5	221N	1476593214 1476593345
5	145450_5	220N	1476593493 1476593489
5	145450_5	219N	1476593598 1476593577
5	145450_5	218N	1476593668 1476593657
5	145450_5	217N	1476593738 1476593727
5	145450_5	216N	1476593806 1476593832
5	145450_5	215N	1476593924 1476593941
