route	trip	stop	time
4	144400_4N	257N	1488430732 1488431040
4	144400_4N	256N	1488430732 1488431130
4	144400_4N	255N	1488430732 1488431190
4	144400_4N	254N	1488430732 1488431280
4	144400_4N	253N	1488430732 1488431340
4	144400_4N	252N	1488430732 1488431460
4	144400_4N	251N	1488430732 1488431550
4	144400_4N	250N	1488430732 1488431700
4	144400_4N	249N	1488430732 1488431820
4	144400_4N	248N	1488430732 1488431940
4	144400_4N	239N	1488430732 1488432030
4	144400_4N	238N	1488430732 1488432150
4	144400_4N	237N	1488430732 1488432240
4	144400_4N	236N	1488430732 1488432360
4	144400_4N	235N	1488430732 1488432450
4	144400_4N	234N	1488430732 1488432540
4	144400_4N	423N	1488430732 1488432630
4	144400_4N	420N	1488430732 1488432930
4	144400_4N	419N	1488430732 1488432990
4	144400_4N	418N	1488430732 1488433080
4	144400_4N	640N	1488430732 1488433170
4	144400_4N	635N	1488430732 1488433440
4	144400_4N	631N	1488430732 1488433650
4	144400_4N	629N	1488430732 1488433770
4	144400_4N	626N	1488430732 1488433980
4	144400_4N	621N	1488430732 1488434250
4	144400_4N	416N	1488430732 1488434400
4	144400_4N	415N	1488430732 1488434520
4	144400_4N	414N	1488430732 1488434670
4	144400_4N	413N	1488430732 1488434760
4	144400_4N	412N	1488430732 1488434850
4	144400_4N	411N	1488430732 1488434910
4	144400_4N	410N	1488430732 1488434970
4	144400_4N	409N	1488430732 1488435060
4	144400_4N	408N	1488430732 1488435750
4	144400_4N	407N	1488430732 1488435810
4	144400_4N	406N	1488430732 1488435900
4	144400_4N	405N	1488430732 1488436020
4	144400_4N	402N	1488430732 1488436140
4	144400_4N	401N	1488430732 1488436260
4	000550_4S	401S	1488430732 1488431130
4	000550_4S	402S	1488430732 1488431250
4	000550_4S	405S	1488430732 1488431370
4	000550_4S	406S	1488430732 1488431490
4	000550_4S	407S	1488430732 1488431550
4	000550_4S	408S	1488430732 1488431610
4	000550_4S	409S	1488430732 1488431700
4	000550_4S	410S	1488430732 1488431790
4	000550_4S	411S	1488430732 1488431880
4	000550_4S	412S	1488430732 1488431940
4	000550_4S	413S	1488430732 1488432030
4	000550_4S	414S	1488430732 1488432150
4	000550_4S	415S	1488430732 1488432330
4	000550_4S	416S	1488430732 1488432450
4	000550_4S	621S	1488430732 1488432600
4	000550_4S	626S	1488430732 1488432870
4	000550_4S	629S	1488430732 1488433080
4	000550_4S	631S	1488430732 1488433230
4	000550_4S	635S	1488430732 1488433440
4	000550_4S	640S	1488430732 1488433710
4	000550_4S	418S	1488430732 1488433800
4	000550_4S	419S	1488430732 1488433890
4	000550_4S	420S	1488430732 1488433950
4	000550_4S	423S	1488430732 1488434250
4	000550_4S	234S	1488430732 1488434340
4	000550_4S	235S	1488430732 1488434430
4	000550_4S	236S	1488430732 1488434490
4	000550_4S	237S	1488430732 1488434610
4	000550_4S	238S	1488430732 1488434730
4	000550_4S	239S	1488430732 1488434820
