route	trip	stop	time
4	135950_4	254S	1467431924 1467431896
4	135950_4	255S	1467431924 1467431986
4	135950_4	256S	1467432302 1467432044
4	135950_4	257S	1467432417 1467432360
4	144400_4	257N	1467432417 1467432240
4	144400_4	256N	1467432531 1467432522
4	144400_4	255N	1467432531 1467432582
4	144400_4	254N	1467432646 1467432660
4	144400_4	253N	1467432721 1467432739
4	144400_4	252N	1467432794 1467432878
4	144400_4	251N	1467432908 1467432897
4	144400_4	250N	1467433019 1467433063
4	144400_4	249N	1467433133 1467433148
4	144400_4	248N	1467433210 1467433283
4	144400_4	239N	1467433396 1467433353
4	144400_4	238N	1467433434 1467433508
4	144400_4	237N	1467433547 1467433586
4	144400_4	236N	1467433725 1467433708
4	144400_4	235N	1467433799 1467433787
4	144400_4	234N	1467433930 1467433901
4	144400_4	423N	1467434043 1467434047
4	144400_4	420N	1467434725 1467434662
4	144400_4	419N	1467434838 1467434801
4	144400_4	418N	1467434887 1467434887
4	144400_4	640N	1467435065 1467435027
4	144400_4	635N	1467435291 1467435335
4	144400_4	631N	1467435711 1467435547
4	144400_4	629N	1467435904 1467435890
4	144400_4	626N	1467436094 1467436096
4	144400_4	621N	1467436536 1467436472
4	144400_4	416N	1467436765 1467436744
4	144400_4	415N	1467436855 1467436845
4	144400_4	414N	1467436974 1467436997
4	144400_4	413N	1467437104 1467437114
4	144400_4	412N	1467437168 1467437222
4	144400_4	411N	1467437284 1467437278
4	144400_4	410N	1467437360 1467437351
4	144400_4	409N	1467437398 1467438057
4	144400_4	408N	1467437514 1467437537
4	144400_4	407N	1467437627 1467437618
4	144400_4	406N	1467437704 1467437709
4	144400_4	405N	1467437817 1467437819
4	144400_4	402N	1467437929 1467437922
4	144400_4	401N	1467438084 1467438025
4	000550_4	401S	1467432302 1467432330
4	000550_4	402S	1467432417 1467432417
4	000550_4	405S	1467432531 1467432535
4	000550_4	406S	1467432646 1467432637
4	000550_4	407S	1467432721 1467432720
4	000550_4	408S	1467432831 1467432802
4	000550_4	409S	1467432945 1467432916
4	000550_4	410S	1467433019 1467433002
4	000550_4	411S	1467433096 1467433077
