route	trip	stop	time
4	144850_4N	257N	1488690593 1488690510
4	144850_4N	256N	1488690653 1488690658
4	144850_4N	255N	1488690713 1488690735
4	144850_4N	254N	1488690713 1488690825
4	144850_4N	253N	1488690908 1488690890
4	144850_4N	252N	1488690908 1488691010
4	144850_4N	251N	1488691073 1488691094
4	144850_4N	250N	1488691193 1488691216
4	144850_4N	249N	1488691313 1488691335
4	144850_4N	248N	1488691433 1488691446
4	144850_4N	239N	1488691628 1488691577
4	144850_4N	235N	1488691913 1488691911
4	144850_4N	234N	1488691973 1488692042
4	144850_4N	423N	1488692153 1488692155
4	144850_4N	420N	1488692693 1488692670
4	144850_4N	419N	1488692753 1488692749
4	144850_4N	418N	1488692873 1488692823
4	144850_4N	640N	1488692933 1488692971
4	144850_4N	635N	1488693233 1488693223
4	144850_4N	631N	1488693413 1488693465
4	144850_4N	630N	1488693593 1488693595
4	144850_4N	629N	1488693713 1488693689
4	144850_4N	628N	1488693773 1488693788
4	144850_4N	627N	1488693893 1488693888
4	144850_4N	626N	1488694013 1488694031
4	144850_4N	625N	1488694133 1488694161
4	144850_4N	624N	1488694313 1488694302
4	144850_4N	623N	1488694373 1488694399
4	144850_4N	622N	1488694493 1488694482
4	144850_4N	621N	1488694673 1488694596
4	144850_4N	416N	1488694853 1488694875
4	144850_4N	222N	1488695033 1488695047
4	144850_4N	221N	1488695153 1488695172
4	144850_4N	220N	1488695273 1488695295
4	144850_4N	219N	1488695393 1488695387
4	144850_4N	218N	1488695453 1488695468
4	144850_4N	217N	1488695573 1488695545
4	144850_4N	216N	1488695573 1488695635
4	144850_4N	215N	1488695753 1488695778
4	144850_4N	214N	1488695873 1488695900
4	144850_4N	213N	1488696053 1488696018
4	000900_4S	213S	1488776333 1488776940
4	000900_4S	214S	1488776333 1488777030
4	000900_4S	215S	1488776333 1488777150
4	000900_4S	216S	1488776333 1488777270
4	000900_4S	217S	1488776333 1488777360
4	000900_4S	218S	1488776333 1488777420
4	000900_4S	219S	1488776333 1488777510
4	000900_4S	220S	1488776333 1488777600
4	000900_4S	221S	1488776333 1488777720
4	000900_4S	222S	1488776333 1488777840
4	000900_4S	416S	1488776333 1488778020
4	000900_4S	621S	1488776333 1488778170
4	000900_4S	626S	1488776333 1488778440
4	000900_4S	629S	1488776333 1488778650
4	000900_4S	631S	1488776333 1488778800
4	000900_4S	635S	1488776333 1488779010
4	000900_4S	640S	1488776333 1488779280
4	000900_4S	418S	1488776333 1488779370
4	000900_4S	419S	1488776333 1488779460
4	000900_4S	420S	1488776333 1488779520
4	000900_4S	423S	1488776333 1488779820
4	000900_4S	234S	1488776333 1488779910
4	000900_4S	235S	1488776333 1488780000
4	000900_4S	236S	1488776333 1488780060
4	000900_4S	237S	1488776333 1488780180
4	000900_4S	238S	1488776333 1488780300
4	000900_4S	239S	1488776333 1488780390
4	000900_4S	248S	1488776333 1488780480
4	000900_4S	249S	1488776333 1488780570
4	000900_4S	250S	1488776333 1488780690
4	000900_4S	251S	1488776333 1488781440
4	000900_4S	252S	1488776333 1488781530
4	000900_4S	253S	1488776333 1488781650
4	000900_4S	254S	1488776333 1488781710
4	000900_4S	255S	1488776333 1488781800
4	000900_4S	256S	1488776333 1488781860
4	000900_4S	257S	1488776333 1488781950
4	001900_4S	213S	1488691253 1488691140
4	001900_4S	214S	1488691433 1488691405
4	001900_4S	215S	1488691493 1488691520
4	001900_4S	216S	1488691628 1488691625
4	001900_4S	217S	1488691733 1488691749
4	001900_4S	218S	1488691853 1488691822
4	001900_4S	219S	1488691913 1488691915
4	001900_4S	220S	1488692033 1488692021
4	001900_4S	221S	1488692153 1488692170
4	001900_4S	222S	1488692333 1488692310
4	001900_4S	416S	1488692573 1488692554
4	001900_4S	621S	1488692693 1488692688
4	001900_4S	622S	1488692813 1488692830
4	001900_4S	623S	1488692933 1488692921
4	001900_4S	624S	1488692993 1488693007
4	001900_4S	625S	1488693113 1488693111
4	001900_4S	626S	1488693293 1488693274
4	001900_4S	627S	1488693548 1488693535
4	001900_4S	628S	1488693593 1488693631
4	001900_4S	629S	1488693713 1488693721
4	001900_4S	630S	1488693833 1488693815
4	001900_4S	631S	1488693953 1488693943
4	001900_4S	632S	1488694073 1488694083
4	001900_4S	633S	1488694133 1488694151
4	001900_4S	634S	1488694133 1488694211
4	001900_4S	635S	1488694373 1488694326
4	001900_4S	636S	1488694433 1488694456
4	001900_4S	637S	1488694553 1488694541
4	001900_4S	638S	1488694613 1488694618
4	001900_4S	639S	1488694673 1488694693
4	001900_4S	640S	1488694853 1488694827
4	001900_4S	418S	1488694853 1488694917
4	001900_4S	419S	1488695033 1488695032
4	001900_4S	420S	1488695093 1488695120
4	001900_4S	423S	1488695393 1488695375
4	001900_4S	234S	1488695513 1488695533
4	001900_4S	235S	1488695693 1488695672
4	001900_4S	236S	1488695753 1488695761
4	001900_4S	237S	1488695873 1488695863
4	001900_4S	238S	1488695993 1488695987
