route	trip	stop	time
4	144100_4	257N	1481518796 1481518860
4	144100_4	256N	1481518931 1481518917
4	144100_4	255N	1481518931 1481518977
4	144100_4	254N	1481518991 1481519062
4	144100_4	253N	1481519051 1481519085
4	144100_4	252N	1481519171 1481519167
4	144100_4	251N	1481519231 1481519274
4	144100_4	250N	1481519336 1481519369
4	144100_4	249N	1481519456 1481519462
4	144100_4	248N	1481519516 1481519568
4	144100_4	239N	1481519696 1481519675
4	144100_4	235N	1481519951 1481519948
4	144100_4	234N	1481520011 1481520033
4	144100_4	423N	1481520191 1481520173
4	144100_4	420N	1481520416 1481520426
4	144100_4	419N	1481520476 1481520496
4	144100_4	418N	1481520536 1481520604
4	144100_4	640N	1481520656 1481520670
4	144100_4	635N	1481520896 1481520904
4	144100_4	631N	1481521211 1481521141
4	144100_4	629N	1481521376 1481521383
4	144100_4	626N	1481521616 1481521591
4	144100_4	621N	1481521856 1481521866
4	144100_4	416N	1481522171 1481522163
4	144100_4	415N	1481522291 1481522233
4	144100_4	414N	1481522756 1481522477
4	144100_4	413N	1481522816 1481522839
4	144100_4	412N	1481522936 1481522921
4	144100_4	411N	1481522996 1481523004
4	144100_4	410N	1481523071 1481523078
4	144100_4	409N	1481523191 1481523167
4	144100_4	408N	1481523251 1481523263
4	144100_4	407N	1481523356 1481523347
4	144100_4	406N	1481523416 1481523444
4	144100_4	405N	1481523536 1481523556
4	144100_4	402N	1481523656 1481523660
4	144100_4	401N	1481523836 1481523762
4	000550_4	401S	1481605091 1481605530
4	000550_4	402S	1481605091 1481605650
4	000550_4	405S	1481605091 1481605770
4	000550_4	406S	1481605091 1481605890
4	000550_4	407S	1481605091 1481605950
4	000550_4	408S	1481605091 1481606010
4	000550_4	409S	1481605091 1481606100
4	000550_4	410S	1481605091 1481606190
4	000550_4	411S	1481605091 1481606280
4	000550_4	412S	1481605091 1481606340
4	000550_4	413S	1481605091 1481606430
4	000550_4	414S	1481605091 1481606550
4	000550_4	415S	1481605091 1481606730
4	000550_4	416S	1481605091 1481606850
4	000550_4	621S	1481605091 1481607000
4	000550_4	626S	1481605091 1481607450
4	000550_4	629S	1481605091 1481607780
4	000550_4	631S	1481605091 1481607990
4	000550_4	635S	1481605091 1481608200
4	000550_4	640S	1481605091 1481608470
4	000550_4	418S	1481605091 1481608800
4	000550_4	419S	1481605091 1481608890
4	000550_4	420S	1481605091 1481608950
4	000550_4	423S	1481605091 1481609250
4	000550_4	234S	1481605091 1481609340
4	000550_4	235S	1481605091 1481609430
4	000550_4	236S	1481605091 1481609490
4	000550_4	237S	1481605091 1481609610
4	000550_4	238S	1481605091 1481609730
4	000550_4	239S	1481605091 1481609820
4	000550_4	248S	1481605091 1481609910
4	000550_4	249S	1481605091 1481610000
4	000550_4	250S	1481605091 1481610120
4	000550_4	251S	1481605091 1481610270
4	000550_4	252S	1481605091 1481610360
4	000550_4	253S	1481605091 1481610480
4	000550_4	254S	1481605091 1481610540
4	000550_4	255S	1481605091 1481610630
4	000550_4	256S	1481605091 1481610690
4	000550_4	257S	1481605091 1481610780
4	001500_4	401S	1481605091 1481606100
4	001500_4	402S	1481605091 1481606220
4	001500_4	405S	1481605091 1481606340
4	001500_4	406S	1481605091 1481606460
4	001500_4	407S	1481605091 1481606520
4	001500_4	408S	1481605091 1481606580
4	001500_4	409S	1481605091 1481606670
4	001500_4	410S	1481605091 1481606760
4	001500_4	411S	1481605091 1481606850
4	001500_4	412S	1481605091 1481606910
4	001500_4	413S	1481605091 1481607000
4	001500_4	414S	1481605091 1481607120
4	001500_4	415S	1481605091 1481607300
4	001500_4	416S	1481605091 1481607420
4	001500_4	621S	1481605091 1481607570
4	001500_4	622S	1481605091 1481607660
4	001500_4	623S	1481605091 1481607750
4	001500_4	624S	1481605091 1481607810
4	001500_4	625S	1481605091 1481607900
4	001500_4	626S	1481605091 1481608020
4	001500_4	627S	1481605091 1481608140
4	001500_4	628S	1481605091 1481608230
4	001500_4	629S	1481605091 1481608350
4	001500_4	630S	1481605091 1481608440
4	001500_4	631S	1481605091 1481608560
4	001500_4	632S	1481522636 1481522647
4	001500_4	633S	1481522696 1481522713
4	001500_4	634S	1481522756 1481522782
4	001500_4	635S	1481605091 1481608770
4	001500_4	636S	1481522996 1481523001
4	001500_4	637S	1481523071 1481523084
4	001500_4	638S	1481523131 1481523167
4	001500_4	639S	1481523251 1481523239
4	001500_4	640S	1481605091 1481609040
4	001500_4	418S	1481605091 1481609400
