route	trip	stop	time
4	000400_4	401S	1459656242 1459656240
4	000400_4	402S	1459656318 1459656364
4	000400_4	405S	1459656431 1459656457
4	000400_4	406S	1459656543 1459656569
4	000400_4	407S	1459656656 1459656653
4	000400_4	408S	1459656732 1459656728
4	000400_4	409S	1459656807 1459656825
4	000400_4	410S	1459656919 1459656913
4	000400_4	411S	1459656957 1459656989
4	000400_4	412S	1459657032 1459657093
4	000400_4	413S	1459657144 1459657155
4	000400_4	414S	1459657259 1459657261
4	000400_4	415S	1459657451 1459657419
4	000400_4	416S	1459657526 1459657530
4	000400_4	621S	1459657678 1459657659
4	000400_4	626S	1459657943 1459657939
4	000400_4	629S	1459658055 1459658167
4	000400_4	631S	1459658283 1459658273
4	000400_4	635S	1459658511 1459658477
4	000400_4	640S	1459658854 1459658815
4	000400_4	418S	1459658965 1459658937
4	000400_4	419S	1459659003 1459659021
4	000400_4	420S	1459659118 1459659104
4	000400_4	423S	1459659307 1459659427
4	000400_4	234S	1459659498 1459659569
4	000400_4	235S	1459659610 1459659602
4	000400_4	236S	1459659725 1459659731
4	000400_4	237S	1459659840 1459659835
4	000400_4	238S	1459659916 1459659933
4	000400_4	239S	1459660032 1459660033
4	000400_4	248S	1459660147 1459660169
4	000400_4	249S	1459660260 1459660264
4	000400_4	250S	1459660453 1459660811
4	000400_4	251S	1459660567 1459660585
4	000400_4	252S	1459660680 1459660692
4	000400_4	253S	1459660756 1459660813
4	000400_4	254S	1459660868 1459660881
4	000400_4	255S	1459660982 1459660985
4	000400_4	256S	1459661058 1459661062
4	000400_4	257S	1459661172 1459661125
4	144850_4	257N	1459656431 1459656510
4	144850_4	256N	1459656506 1459656514
4	144850_4	255N	1459656618 1459656586
4	144850_4	254N	1459656732 1459656735
4	144850_4	253N	1459656807 1459656816
4	144850_4	252N	1459656919 1459656897
4	144850_4	251N	1459657032 1459657016
4	144850_4	250N	1459657144 1459657184
4	144850_4	249N	1459657259 1459657330
4	144850_4	248N	1459657413 1459657404
4	144850_4	239N	1459657564 1459657523
4	144850_4	238N	1459657678 1459657670
4	144850_4	237N	1459657869 1459657834
4	144850_4	236N	1459657943 1459657964
4	144850_4	235N	1459658055 1459658048
4	144850_4	234N	1459658171 1459658176
4	144850_4	423N	1459658359 1459658345
4	144850_4	420N	1459658586 1459658672
4	144850_4	419N	1459658701 1459658700
4	144850_4	418N	1459658778 1459658772
4	144850_4	640N	1459658892 1459658886
4	144850_4	635N	1459659118 1459659146
4	144850_4	631N	1459659421 1459659381
4	144850_4	629N	1459659610 1459659604
4	144850_4	626N	1459659802 1459659796
4	144850_4	621N	1459660222 1459660195
4	144850_4	416N	1459660415 1459660385
4	144850_4	415N	1459660529 1459660932
4	144850_4	414N	1459660642 1459660617
4	144850_4	413N	1459660756 1459660737
4	144850_4	412N	1459660868 1459660834
4	144850_4	411N	1459660943 1459660924
4	144850_4	410N	1459660982 1459661011
4	144850_4	409N	1459661097 1459661106
4	144850_4	408N	1459661172 1459661222
4	144850_4	407N	1459661347 1459661292
4	144850_4	406N	1459661461 1459661433
4	144850_4	405N	1459661589 1459661567
4	144850_4	402N	1459661703 1459661673
4	144850_4	401N	1459661855 1459661781
4	001400_4	401S	1459656807 1459656840
4	001400_4	402S	1459656957 1459656943
4	001400_4	405S	1459657032 1459657052
4	001400_4	406S	1459657144 1459657200
4	001400_4	407S	1459657259 1459657258
4	001400_4	408S	1459657336 1459657338
4	001400_4	409S	1459657451 1459657439
4	001400_4	410S	1459657526 1459657528
4	001400_4	411S	1459657564 1459657608
4	001400_4	412S	1459657678 1459657690
4	001400_4	413S	1459657755 1459657804
4	001400_4	414S	1459657869 1459657930
4	001400_4	415S	1459658055 1459658080
4	001400_4	416S	1459658246 1459658235
4	001400_4	621S	1459658359 1459658375
4	001400_4	622S	1459658511 1459658497
4	001400_4	623S	1459658586 1459658586
4	001400_4	624S	1459658662 1459658669
4	001400_4	625S	1459658778 1459658758
4	001400_4	626S	1459658892 1459658878
4	001400_4	627S	1459659080 1459659081
4	001400_4	628S	1459659194 1459659178
4	001400_4	629S	1459659307 1459659278
4	001400_4	630S	1459659384 1459659378
4	001400_4	631S	1459659498 1459659507
4	001400_4	632S	1459659610 1459659696
4	001400_4	633S	1459659725 1459659719
4	001400_4	634S	1459659802 1459659793
4	001400_4	635S	1459659994 1459659941
4	001400_4	640S	1459660529 1459660355
4	001400_4	418S	1459660642 1459660623
4	001400_4	419S	1459660680 1459660693
4	001400_4	420S	1459660756 1459660783
4	001400_4	423S	1459661058 1459661061
4	001400_4	234S	1459661172 1459661287
4	001400_4	235S	1459661347 1459661362
4	001400_4	236S	1459661461 1459661455
4	001400_4	237S	1459661497 1459661564
4	001400_4	238S	1459661665 1459661653
4	001400_4	239S	1459661779 1459661777
4	001400_4	248S	1459661970 1459661937
4	001400_4	249S	1459662067 1459662036
4	001400_4	250S	1459662254 1459662734
4	001400_4	251S	1459662368 1459662427
4	001400_4	252S	1459662521 1459662528
4	001400_4	253S	1459662610 1459662618
4	001400_4	254S	1459662709 1459662722
4	001400_4	255S	1459662785 1459662837
4	001400_4	256S	1459662917 1459662910
4	001400_4	257S	1459663031 1459662988
4	146000_4	257N	1459657144 1459657200
4	146000_4	256N	1459657259 1459657235
4	146000_4	255N	1459657336 1459657312
4	146000_4	254N	1459657413 1459657419
4	146000_4	253N	1459657451 1459657496
4	146000_4	252N	1459657564 1459657583
4	146000_4	251N	1459657678 1459657689
4	146000_4	250N	1459658473 1459658471
4	146000_4	249N	1459658586 1459658578
4	146000_4	248N	1459658701 1459658677
4	146000_4	239N	1459658778 1459658786
4	146000_4	238N	1459658965 1459658955
4	146000_4	237N	1459659118 1459659088
4	146000_4	236N	1459659194 1459659207
4	146000_4	235N	1459659384 1459659322
4	146000_4	234N	1459659498 1459659478
4	146000_4	423N	1459659610 1459659605
4	146000_4	420N	1459659916 1459659918
4	146000_4	419N	1459659994 1459659994
4	146000_4	418N	1459660032 1459660101
4	146000_4	640N	1459660147 1459660178
4	146000_4	635N	1459660453 1459660443
4	146000_4	631N	1459660680 1459660688
4	146000_4	629N	1459660868 1459660866
4	146000_4	626N	1459661058 1459661049
4	146000_4	621N	1459661497 1459661459
4	146000_4	416N	1459661665 1459661644
4	146000_4	415N	1459661779 1459662198
4	146000_4	414N	1459661893 1459661889
4	146000_4	413N	1459661991 1459662019
4	146000_4	412N	1459662104 1459662106
4	146000_4	411N	1459662180 1459662193
4	146000_4	410N	1459662291 1459662281
4	146000_4	409N	1459662368 1459662379
4	146000_4	408N	1459662497 1459662478
4	146000_4	407N	1459662521 1459662562
4	146000_4	406N	1459662671 1459662670
4	146000_4	405N	1459662785 1459662791
4	146000_4	402N	1459662917 1459662899
4	146000_4	401N	1459663031 1459663012
4	134850_4	253S	1459655940 1459655671
4	134850_4	254S	1459656016 1459656023
4	134850_4	255S	1459656130 1459656121
4	134850_4	256S	1459656205 1459656199
4	134850_4	257S	1459656318 1459656283
4	136650_4	250S	1459655940 1459655997
4	136650_4	251S	1459656092 1459656082
4	136650_4	252S	1459656205 1459656196
4	136650_4	253S	1459656242 1459656309
4	136650_4	254S	1459656393 1459656376
4	136650_4	255S	1459656506 1459656472
4	136650_4	256S	1459656618 1459656585
4	136650_4	257S	1459656732 1459656663
4	137650_4	407N	1459742136 1459742107
4	137650_4	406N	1459742230 1459742203
4	137650_4	405N	1459742230 1459742323
4	137650_4	402N	1459742230 1459742413
4	137650_4	401N	1459742230 1459742533
4	137850_4	235S	1459656016 1459656014
4	137850_4	236S	1459656130 1459656104
4	137850_4	237S	1459656205 1459656203
4	137850_4	238S	1459656318 1459656298
4	137850_4	239S	1459656431 1459656444
4	137850_4	248S	1459656618 1459656605
4	137850_4	249S	1459656732 1459656717
4	137850_4	250S	1459656957 1459657036
4	137850_4	251S	1459657107 1459657110
4	137850_4	252S	1459657221 1459657218
4	137850_4	253S	1459657259 1459657324
4	137850_4	254S	1459657413 1459657389
4	137850_4	255S	1459657451 1459657497
4	137850_4	256S	1459657564 1459657554
4	137850_4	257S	1459657678 1459657606
4	138850_4	412N	1459742230 1459743388
4	138850_4	411N	1459742230 1459743478
4	138850_4	410N	1459742230 1459743538
4	138850_4	409N	1459742230 1459743628
4	138850_4	408N	1459742230 1459743718
4	138850_4	407N	1459742230 1459743778
4	138850_4	406N	1459742230 1459743838
4	138850_4	405N	1459742230 1459743958
4	138850_4	402N	1459742230 1459744048
4	138850_4	401N	1459742230 1459744168
4	139650_4	635S	1459655902 1459655865
4	139650_4	640S	1459656205 1459656187
4	139650_4	418S	1459656318 1459656301
4	139650_4	419S	1459656393 1459656380
4	139650_4	420S	1459656506 1459656467
4	139650_4	423S	1459656732 1459656741
4	139650_4	234S	1459656919 1459656891
4	139650_4	235S	1459657107 1459657038
4	139650_4	236S	1459657144 1459657156
4	139650_4	237S	1459657259 1459657259
4	139650_4	238S	1459657336 1459657355
4	139650_4	239S	1459657526 1459657481
4	139650_4	248S	1459657641 1459657626
4	139650_4	249S	1459657755 1459657722
4	139650_4	250S	1459658055 1459658220
4	139650_4	251S	1459658171 1459658179
4	139650_4	252S	1459658283 1459658291
4	139650_4	253S	1459658359 1459658377
4	139650_4	254S	1459658473 1459658465
4	139650_4	255S	1459658586 1459658564
4	139650_4	256S	1459658662 1459658642
4	139650_4	257S	1459658778 1459658716
4	140050_4	635N	1459659840 1459655160
4	140050_4	631N	1459659840 1459655370
4	140050_4	629N	1459659840 1459655490
4	140050_4	626N	1459659840 1459655700
4	140050_4	621N	1459659840 1459656000
4	140050_4	416N	1459659840 1459656150
4	140050_4	415N	1459659840 1459656720
4	140050_4	414N	1459659840 1459656870
4	140050_4	413N	1459659840 1459656990
4	140050_4	412N	1459659840 1459657080
4	140050_4	411N	1459659840 1459657170
4	140050_4	410N	1459659840 1459657230
4	140050_4	409N	1459659840 1459657320
4	140050_4	408N	1459659840 1459657410
4	140050_4	407N	1459659840 1459657470
4	140050_4	406N	1459659840 1459657530
